“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T14:04:25.384366
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T14:04:25.384366
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T14:04:25.384366
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T14:04:25.384366
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T14:04:25.384366
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T14:19:45.739218
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T14:19:45.739218
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T14:19:45.739218
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T14:19:45.739218
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T14:19:45.739218
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T14:20:48.805675
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T14:20:48.805675
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T14:20:48.805675
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T14:20:48.805675
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T14:20:48.805675
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T14:21:00.252173
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T14:21:00.252173
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T14:21:00.252173
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T14:21:00.252173
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T14:21:00.252173
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T14:21:11.608957
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T14:21:11.609968
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T14:21:11.609968
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T14:21:11.609968
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T14:21:11.609968
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T14:21:23.000112
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T14:21:23.000112
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T14:21:23.000112
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T14:21:23.000112
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T14:21:23.000112
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T14:21:40.940023
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T14:21:40.940023
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T14:21:40.940023
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T14:21:40.940023
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T14:21:40.940023
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T14:21:56.048156
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T14:21:56.048156
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T14:21:56.048156
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T14:21:56.048156
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T14:21:56.048156
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T17:00:06.512149
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T17:00:06.512149
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T17:00:06.512149
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T17:00:06.512149
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T17:00:06.512149
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T17:00:18.048876
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T17:00:18.048876
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T17:00:18.048876
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T17:00:18.048876
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T17:00:18.048876
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T17:00:29.513509
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T17:00:29.514505
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T17:00:29.514505
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T17:00:29.514505
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T17:00:29.514505
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T17:00:40.922185
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T17:00:40.922185
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T17:00:40.922185
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T17:00:40.922185
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T17:00:40.922185
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T17:00:58.749032
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T17:00:58.750032
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T17:00:58.750032
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T17:00:58.750032
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T17:00:58.750032
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T17:01:13.832453
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T17:01:13.833451
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T17:01:13.833451
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T17:01:13.833451
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T17:01:13.833451
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T17:04:30.920224
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T17:04:30.920224
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T17:04:30.920224
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T17:04:30.920224
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T17:04:30.920224
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T17:04:42.299069
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T17:04:42.299069
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T17:04:42.299069
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T17:04:42.299069
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T17:04:42.299069
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T17:04:53.660562
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T17:04:53.660562
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T17:04:53.660562
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T17:04:53.660562
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T17:04:53.660562
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T17:05:05.048354
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T17:05:05.048354
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T17:05:05.048354
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T17:05:05.048354
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T17:05:05.048354
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T17:05:23.179626
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T17:05:23.179626
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T17:05:23.179626
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T17:05:23.179626
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T17:05:23.179626
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-04T17:05:37.546319
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-04T17:05:37.546319
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-04T17:05:37.546319
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-04T17:05:37.546319
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-04T17:05:37.546319
