row_index,previous_timestamp_ms,current_timestamp_ms,gap_ms,estimated_missing_samples
57,136205.0,136236.0,31.0,1
75,136570.0,136602.0,32.0,1
92,136906.0,136937.0,31.0,1
113,137331.0,137364.0,33.0,1
143,137932.0,137965.0,33.0,1
158,138234.0,138266.0,32.0,1
173,138538.0,138570.0,32.0,1
189,138850.0,138886.0,36.0,1
206,139191.0,139226.0,35.0,1
241,139895.0,139930.0,35.0,1
285,140777.0,140809.0,32.0,1
318,141432.0,141464.0,32.0,1
340,141876.0,141910.0,34.0,1
346,142001.0,142034.0,33.0,1
370,142476.0,142507.0,31.0,1
382,142720.0,142755.0,35.0,1
405,143174.0,143205.0,31.0,1
441,143903.0,143935.0,32.0,1
449,144059.0,144091.0,32.0,1
490,144880.0,144918.0,38.0,1
504,145159.0,145196.0,37.0,1
526,145599.0,145632.0,33.0,1
541,145903.0,145936.0,33.0,1
556,146204.0,146235.0,31.0,1
564,146362.0,146393.0,31.0,1
571,146504.0,146537.0,33.0,1
609,147266.0,147297.0,31.0,1
625,147580.0,147612.0,32.0,1
631,147704.0,147737.0,33.0,1
638,147847.0,147879.0,32.0,1
651,148109.0,148140.0,31.0,1
666,148404.0,148438.0,34.0,1
704,149165.0,149201.0,36.0,1
715,149386.0,149418.0,32.0,1
725,149588.0,149620.0,32.0,1
777,150626.0,150657.0,31.0,1
784,150766.0,150799.0,33.0,1
798,151046.0,151079.0,33.0,1
800,151089.0,151120.0,31.0,1
825,151588.0,151619.0,31.0,1
848,152048.0,152083.0,35.0,1
891,152907.0,152941.0,34.0,1
906,153207.0,153243.0,36.0,1
919,153466.0,153497.0,31.0,1
930,153692.0,153724.0,32.0,1
949,154070.0,154103.0,33.0,1
954,154168.0,154203.0,35.0,1
966,154409.0,154445.0,36.0,1
970,154489.0,154520.0,31.0,1
996,155010.0,155044.0,34.0,1
1009,155265.0,155304.0,39.0,1
1026,155611.0,155644.0,33.0,1
1038,155851.0,155885.0,34.0,1
1044,155974.0,156007.0,33.0,1
1068,156448.0,156481.0,33.0,1
1094,156972.0,157004.0,32.0,1
1098,157051.0,157085.0,34.0,1
1101,157114.0,157148.0,34.0,1
1117,157432.0,157466.0,34.0,1
1123,157552.0,157591.0,39.0,1
1154,158172.0,158209.0,37.0,1
1162,158330.0,158369.0,39.0,1
1230,159696.0,159729.0,33.0,1
1298,161063.0,161094.0,31.0,1
1304,161180.0,161211.0,31.0,1
1321,161519.0,161553.0,34.0,1
1358,162256.0,162295.0,39.0,1
1364,162381.0,162414.0,33.0,1
1382,162738.0,162775.0,37.0,1
1385,162798.0,162835.0,37.0,1
1401,163120.0,163155.0,35.0,1
1470,164500.0,164537.0,37.0,1
1483,164763.0,164794.0,31.0,1
1498,165066.0,165099.0,33.0,1
1523,165562.0,165595.0,33.0,1
1529,165681.0,165718.0,37.0,1
1532,165741.0,165778.0,37.0,1
1565,166407.0,166439.0,32.0,1
1574,166583.0,166616.0,33.0,1
1592,166945.0,166980.0,35.0,1
1603,167163.0,167196.0,33.0,1
1619,167484.0,167517.0,33.0,1
1624,167583.0,167616.0,33.0,1
1628,167666.0,167700.0,34.0,1
1635,167806.0,167837.0,31.0,1
1648,168064.0,168095.0,31.0,1
1663,168369.0,168401.0,32.0,1
1680,168705.0,168743.0,38.0,1
1726,169625.0,169663.0,38.0,1
1733,169763.0,169802.0,39.0,1
1769,170491.0,170522.0,31.0,1
1780,170706.0,170741.0,35.0,1
1806,171227.0,171260.0,33.0,1
1830,171711.0,171743.0,32.0,1
1846,172028.0,172062.0,34.0,1
1854,172189.0,172221.0,32.0,1
1886,172828.0,172860.0,32.0,1
1897,173053.0,173087.0,34.0,1
1911,173331.0,173364.0,33.0,1
1955,174217.0,174249.0,32.0,1
1965,174411.0,174446.0,35.0,1
1983,174774.0,174805.0,31.0,1
1988,174874.0,174906.0,32.0,1
2004,175194.0,175231.0,37.0,1
2007,175253.0,175290.0,37.0,1
2014,175394.0,175425.0,31.0,1
2020,175511.0,175542.0,31.0,1
2036,175834.0,175865.0,31.0,1
2052,176152.0,176183.0,31.0,1
2058,176274.0,176305.0,31.0,1
2089,176894.0,176925.0,31.0,1
2103,177173.0,177204.0,31.0,1
2112,177354.0,177385.0,31.0,1
2118,177473.0,177504.0,31.0,1
2132,177755.0,177786.0,31.0,1
2141,177936.0,177968.0,32.0,1
2164,178395.0,178426.0,31.0,1
2178,178671.0,178708.0,37.0,1
2191,178934.0,178965.0,31.0,1
2202,179155.0,179194.0,39.0,1
2208,179275.0,179306.0,31.0,1
2221,179532.0,179571.0,39.0,1
2238,179877.0,179911.0,34.0,1
2248,180077.0,180111.0,34.0,1
2256,180229.0,180262.0,33.0,1
2293,180980.0,181012.0,32.0,1
2313,181381.0,181412.0,31.0,1
2319,181497.0,181532.0,35.0,1
2336,181841.0,181873.0,32.0,1
2346,182044.0,182075.0,31.0,1
2365,182419.0,182450.0,31.0,1
2381,182741.0,182773.0,32.0,1
2388,182880.0,182911.0,31.0,1
2393,182979.0,183011.0,32.0,1
2397,183063.0,183097.0,34.0,1
2418,183483.0,183516.0,33.0,1
2428,183684.0,183715.0,31.0,1
2444,184005.0,184039.0,34.0,1
2459,184297.0,184337.0,40.0,1
2468,184481.0,184520.0,39.0,1
2477,184664.0,184695.0,31.0,1
2495,185023.0,185055.0,32.0,1
2500,185123.0,185155.0,32.0,1
2516,185442.0,185473.0,31.0,1
2531,185743.0,185774.0,31.0,1
2532,185774.0,185981.0,207.0,9
2543,185943.0,185981.0,38.0,1
2547,186024.0,186059.0,35.0,1
2551,186121.0,186265.0,144.0,6
2573,186486.0,186519.0,33.0,1
2591,186845.0,186877.0,32.0,1
2596,186945.0,186981.0,36.0,1
2606,187143.0,187184.0,41.0,1
2611,187245.0,187277.0,32.0,1
2620,187426.0,187463.0,37.0,1
2625,187524.0,187555.0,31.0,1
2640,187828.0,187859.0,31.0,1
2645,187930.0,187963.0,33.0,1
2649,188005.0,188041.0,36.0,1
2662,188267.0,188298.0,31.0,1
2721,189448.0,189479.0,31.0,1
2730,189628.0,189660.0,32.0,1
2748,189992.0,190210.0,218.0,10
2765,190289.0,190323.0,34.0,1
2777,190530.0,190562.0,32.0,1
2783,190649.0,190681.0,32.0,1
2788,190748.0,190780.0,32.0,1
2793,190850.0,190881.0,31.0,1
2808,191151.0,191183.0,32.0,1
2818,191348.0,191379.0,31.0,1
2822,191428.0,191459.0,31.0,1
2832,191629.0,191664.0,35.0,1
2838,191752.0,191784.0,32.0,1
2843,191849.0,191888.0,39.0,1
2852,192030.0,192061.0,31.0,1
2884,192673.0,192706.0,33.0,1
2889,192770.0,192802.0,32.0,1
2905,193093.0,193125.0,32.0,1
2916,193314.0,193348.0,34.0,1
2929,193571.0,193603.0,32.0,1
2932,193634.0,193667.0,33.0,1
2938,193755.0,193787.0,32.0,1
2944,193876.0,193907.0,31.0,1
2957,194133.0,194165.0,32.0,1
2972,194434.0,194465.0,31.0,1
2985,194693.0,194726.0,33.0,1
2995,194893.0,194924.0,31.0,1
3001,195013.0,195045.0,32.0,1
3007,195138.0,195170.0,32.0,1
3013,195259.0,195291.0,32.0,1
3025,195496.0,195528.0,32.0,1
3040,195795.0,195826.0,31.0,1
3061,196215.0,196246.0,31.0,1
3086,196717.0,196750.0,33.0,1
3091,196815.0,196846.0,31.0,1
3106,197116.0,197147.0,31.0,1
3121,197418.0,197449.0,31.0,1
3126,197517.0,197552.0,35.0,1
3141,197815.0,197850.0,35.0,1
3160,198198.0,198229.0,31.0,1
3166,198318.0,198350.0,32.0,1
3175,198498.0,198529.0,31.0,1
3181,198618.0,198650.0,32.0,1
3190,198798.0,198829.0,31.0,1
3191,198829.0,198993.0,164.0,7
3201,198957.0,198993.0,36.0,1
3207,199078.0,199109.0,31.0,1
3215,199236.0,199269.0,33.0,1
3218,199296.0,199454.0,158.0,7
3226,199420.0,199454.0,34.0,1
3230,199499.0,199530.0,31.0,1
3241,199717.0,199748.0,31.0,1
3247,199838.0,199869.0,31.0,1
3262,200137.0,200168.0,31.0,1
3275,200398.0,200429.0,31.0,1
3278,200461.0,200492.0,31.0,1
3280,200512.0,200658.0,146.0,6
3301,200861.0,200892.0,31.0,1
3304,200924.0,200955.0,31.0,1
3314,201119.0,201157.0,38.0,1
3317,201178.0,201213.0,35.0,1
3320,201232.0,201265.0,33.0,1
3344,201719.0,201756.0,37.0,1
3377,202382.0,202413.0,31.0,1
3399,202823.0,202855.0,32.0,1
3407,202980.0,203011.0,31.0,1
3415,203140.0,203172.0,32.0,1
3422,203280.0,203311.0,31.0,1
3446,203762.0,203794.0,32.0,1
3450,203842.0,203880.0,38.0,1
3464,204121.0,204156.0,35.0,1
3482,204484.0,204516.0,32.0,1
3497,204784.0,204816.0,32.0,1
3511,205064.0,205096.0,32.0,1
3520,205244.0,205275.0,31.0,1
3528,205403.0,205434.0,31.0,1
3531,205463.0,205499.0,36.0,1
3536,205564.0,205601.0,37.0,1
3540,205644.0,205681.0,37.0,1
3546,205763.0,205799.0,36.0,1
3602,206885.0,206917.0,32.0,1
3609,207026.0,207059.0,33.0,1
3631,207468.0,207499.0,31.0,1
3639,207627.0,207660.0,33.0,1
3644,207724.0,207764.0,40.0,1
3654,207926.0,207959.0,33.0,1
3662,208088.0,208122.0,34.0,1
3682,208492.0,208524.0,32.0,1
3687,208595.0,208626.0,31.0,1
3700,208847.0,208880.0,33.0,1
3744,209730.0,209761.0,31.0,1
3792,210687.0,210723.0,36.0,1
3799,210830.0,210863.0,33.0,1
3843,211710.0,211747.0,37.0,1
3856,211970.0,212005.0,35.0,1
3875,212354.0,212388.0,34.0,1
3933,213512.0,213547.0,35.0,1
3960,214055.0,214086.0,31.0,1
3966,214173.0,214209.0,36.0,1
3980,214452.0,214489.0,37.0,1
3993,214712.0,214747.0,35.0,1
4007,214993.0,215024.0,31.0,1
4013,215114.0,215150.0,36.0,1
4024,215335.0,215367.0,32.0,1
4039,215634.0,215670.0,36.0,1
4051,215872.0,215905.0,33.0,1
4060,216056.0,216087.0,31.0,1
4063,216117.0,216151.0,34.0,1
4073,216316.0,216347.0,31.0,1
4078,216414.0,216450.0,36.0,1
4091,216674.0,216712.0,38.0,1
4110,217055.0,217089.0,34.0,1
4147,217797.0,217835.0,38.0,1
4157,217996.0,218027.0,31.0,1
4164,218137.0,218172.0,35.0,1
4171,218278.0,218311.0,33.0,1
4176,218380.0,218412.0,32.0,1
4186,218578.0,218614.0,36.0,1
4193,218718.0,218749.0,31.0,1
4198,218817.0,218853.0,36.0,1
4205,218957.0,218989.0,32.0,1
4212,219099.0,219135.0,36.0,1
4216,219179.0,219210.0,31.0,1
4229,219437.0,219469.0,32.0,1
4240,219658.0,219696.0,38.0,1
4254,219938.0,219969.0,31.0,1
4261,220081.0,220112.0,31.0,1
4268,220221.0,220253.0,32.0,1
4276,220378.0,220409.0,31.0,1
4280,220455.0,220491.0,36.0,1
4300,220860.0,221055.0,195.0,9
4310,220998.0,221032.0,34.0,1
4317,221140.0,221172.0,32.0,1
4323,221260.0,221292.0,32.0,1
4341,221627.0,221658.0,31.0,1
4361,222021.0,222052.0,31.0,1
4364,222084.0,222116.0,32.0,1
4376,222320.0,222356.0,36.0,1
4384,222481.0,222513.0,32.0,1
4390,222604.0,222638.0,34.0,1
4403,222868.0,222988.0,120.0,5
4410,222940.0,222971.0,31.0,1
4416,223064.0,223095.0,31.0,1
4433,223404.0,223436.0,32.0,1
4440,223542.0,223573.0,31.0,1
4447,223684.0,223715.0,31.0,1
4462,223981.0,224015.0,34.0,1
4469,224122.0,224157.0,35.0,1
4503,224807.0,224840.0,33.0,1
4521,225162.0,225194.0,32.0,1
4527,225281.0,225318.0,37.0,1
4545,225642.0,225677.0,35.0,1
4552,225785.0,225817.0,32.0,1
4555,225842.0,225879.0,37.0,1
4567,226083.0,226114.0,31.0,1
4569,226130.0,226281.0,151.0,7
4584,226341.0,226374.0,33.0,1
4595,226568.0,226599.0,31.0,1
4601,226684.0,226716.0,32.0,1
4608,226826.0,226858.0,32.0,1
4621,227081.0,227123.0,42.0,1
4651,227683.0,227716.0,33.0,1
4660,227868.0,227899.0,31.0,1
4668,228025.0,228057.0,32.0,1
4677,228207.0,228239.0,32.0,1
4699,228649.0,228680.0,31.0,1
4705,228766.0,228797.0,31.0,1
4744,229549.0,229581.0,32.0,1
4754,229747.0,229783.0,36.0,1
4758,229830.0,229861.0,31.0,1
4766,229989.0,230020.0,31.0,1
4782,230309.0,230340.0,31.0,1
4787,230411.0,230442.0,31.0,1
4808,230824.0,230860.0,36.0,1
4821,231088.0,231124.0,36.0,1
4825,231169.0,231200.0,31.0,1
4834,231351.0,231382.0,31.0,1
4843,231544.0,231703.0,159.0,7
4851,231631.0,231662.0,31.0,1
4864,231893.0,231926.0,33.0,1
4873,232069.0,232103.0,34.0,1
4881,232230.0,232264.0,34.0,1
4886,232334.0,232367.0,33.0,1
4896,232532.0,232565.0,33.0,1
4899,232590.0,232621.0,31.0,1
4929,233195.0,233230.0,35.0,1
4935,233314.0,233346.0,32.0,1
4941,233430.0,233464.0,34.0,1
4948,233571.0,233605.0,34.0,1
4955,233713.0,233744.0,31.0,1
4964,233894.0,233925.0,31.0,1
4971,234032.0,234063.0,31.0,1
4975,234109.0,234141.0,32.0,1
4986,234333.0,234365.0,32.0,1
4995,234513.0,234546.0,33.0,1
5006,234734.0,234768.0,34.0,1
5016,234932.0,234963.0,31.0,1
5021,235035.0,235070.0,35.0,1
5038,235373.0,235406.0,33.0,1
5045,235511.0,235545.0,34.0,1
5056,235733.0,235770.0,37.0,1
5069,235993.0,236025.0,32.0,1
5080,236212.0,236244.0,32.0,1
5090,236415.0,236446.0,31.0,1
5094,236501.0,236532.0,31.0,1
5105,236715.0,236747.0,32.0,1
5125,237110.0,237146.0,36.0,1
5130,237214.0,237252.0,38.0,1
5142,237455.0,237486.0,31.0,1
5158,237778.0,237809.0,31.0,1
5162,237850.0,237893.0,43.0,1
5174,238095.0,238126.0,31.0,1
5180,238215.0,238251.0,36.0,1
5188,238377.0,238408.0,31.0,1
5193,238480.0,238511.0,31.0,1
5196,238536.0,238567.0,31.0,1
5205,238716.0,238748.0,32.0,1
5211,238836.0,238867.0,31.0,1
5226,239139.0,239170.0,31.0,1
5240,239414.0,239448.0,34.0,1
5254,239698.0,239730.0,32.0,1
5268,239974.0,240013.0,39.0,1
5285,240319.0,240350.0,31.0,1
5291,240439.0,240470.0,31.0,1
5312,240852.0,240887.0,35.0,1
5316,240940.0,240971.0,31.0,1
5322,241060.0,241091.0,31.0,1
5338,241381.0,241412.0,31.0,1
5345,241518.0,241550.0,32.0,1
5360,241822.0,241853.0,31.0,1
5369,242000.0,242038.0,38.0,1
5376,242141.0,242173.0,32.0,1
5379,242198.0,242238.0,40.0,1
5386,242345.0,242499.0,154.0,7
5410,242760.0,242796.0,36.0,1
5416,242883.0,242914.0,31.0,1
5423,243023.0,243054.0,31.0,1
5430,243160.0,243192.0,32.0,1
5437,243303.0,243334.0,31.0,1
5451,243585.0,243617.0,32.0,1
5461,243780.0,243812.0,32.0,1
5469,243943.0,243974.0,31.0,1
5472,244005.0,244039.0,34.0,1
5484,244241.0,244272.0,31.0,1
5487,244303.0,244339.0,36.0,1
5507,244701.0,244733.0,32.0,1
5518,244924.0,244957.0,33.0,1
5529,245145.0,245177.0,32.0,1
5535,245265.0,245296.0,31.0,1
5545,245467.0,245499.0,32.0,1
5558,245722.0,245754.0,32.0,1
5619,246946.0,246978.0,32.0,1
5626,247084.0,247115.0,31.0,1
5663,247828.0,247859.0,31.0,1
5671,247988.0,248019.0,31.0,1
5686,248287.0,248319.0,32.0,1
5718,248926.0,248961.0,35.0,1
5723,249029.0,249060.0,31.0,1
5729,249147.0,249180.0,33.0,1
5738,249328.0,249360.0,32.0,1
5746,249488.0,249520.0,32.0,1
5763,249829.0,249861.0,32.0,1
5775,250069.0,250100.0,31.0,1
5791,250389.0,250421.0,32.0,1
5797,250508.0,250539.0,31.0,1
5810,250768.0,250799.0,31.0,1
5818,250930.0,250962.0,32.0,1
5829,251148.0,251184.0,36.0,1
5839,251349.0,251384.0,35.0,1
5854,251639.0,251676.0,37.0,1
5859,251749.0,251783.0,34.0,1
5880,252173.0,252204.0,31.0,1
5884,252252.0,252288.0,36.0,1
5890,252373.0,252408.0,35.0,1
5896,252490.0,252522.0,32.0,1
5904,252650.0,252681.0,31.0,1
5926,253091.0,253123.0,32.0,1
5939,253353.0,253384.0,31.0,1
5945,253468.0,253500.0,32.0,1
5956,253691.0,253722.0,31.0,1
5959,253763.0,253900.0,137.0,6
5965,253813.0,253845.0,32.0,1
5973,253972.0,254003.0,31.0,1
5988,254272.0,254303.0,31.0,1
5992,254357.0,254388.0,31.0,1
6011,254734.0,254768.0,34.0,1
6015,254811.0,254851.0,40.0,1
6019,254894.0,254929.0,35.0,1
6025,255013.0,255044.0,31.0,1
6041,255332.0,255363.0,31.0,1
6071,255935.0,255966.0,31.0,1
6077,256052.0,256088.0,36.0,1
6092,256354.0,256387.0,33.0,1
6102,256556.0,256592.0,36.0,1
6111,256731.0,256762.0,31.0,1
6124,256995.0,257026.0,31.0,1
6130,257116.0,257148.0,32.0,1
6160,257716.0,257748.0,32.0,1
6169,257896.0,257932.0,36.0,1
6182,258152.0,258188.0,36.0,1
6210,258716.0,258751.0,35.0,1
6217,258862.0,258893.0,31.0,1
6229,259097.0,259128.0,31.0,1
6236,259237.0,259272.0,35.0,1
6243,259379.0,259410.0,31.0,1
6251,259537.0,259572.0,35.0,1
6255,259615.0,259649.0,34.0,1
6269,259892.0,259934.0,42.0,1
6278,260078.0,260110.0,32.0,1
6286,260233.0,260264.0,31.0,1
6288,260280.0,260311.0,31.0,1
6305,260622.0,260655.0,33.0,1
6306,260655.0,260811.0,156.0,7
6335,261162.0,261193.0,31.0,1
6341,261280.0,261313.0,33.0,1
6354,261541.0,261572.0,31.0,1
6372,261900.0,261933.0,33.0,1
6381,262078.0,262109.0,31.0,1
6395,262360.0,262393.0,33.0,1
6398,262425.0,262456.0,31.0,1
6406,262581.0,262612.0,31.0,1
6408,262632.0,262749.0,117.0,5
6447,263346.0,263378.0,32.0,1
6458,263560.0,263594.0,34.0,1
6470,263802.0,263840.0,38.0,1
6483,264062.0,264095.0,33.0,1
6489,264184.0,264215.0,31.0,1
6512,264641.0,264672.0,31.0,1
6516,264733.0,264843.0,110.0,5
6529,264924.0,264955.0,31.0,1
6536,265062.0,265097.0,35.0,1
6542,265183.0,265217.0,34.0,1
6563,265607.0,265642.0,35.0,1
6569,265722.0,265753.0,31.0,1
6575,265843.0,265874.0,31.0,1
6578,265908.0,265939.0,31.0,1
6602,266386.0,266417.0,31.0,1
6642,267185.0,267216.0,31.0,1
6657,267487.0,267518.0,31.0,1
6705,268446.0,268478.0,32.0,1
6710,268546.0,268578.0,32.0,1
6725,268846.0,268877.0,31.0,1
6734,269036.0,269193.0,157.0,7
6744,269176.0,269346.0,170.0,7
6767,269566.0,269597.0,31.0,1
6775,269728.0,269759.0,31.0,1
6806,270347.0,270378.0,31.0,1
6836,270949.0,270980.0,31.0,1
6843,271089.0,271120.0,31.0,1
6849,271210.0,271241.0,31.0,1
6854,271310.0,271342.0,32.0,1
6880,271828.0,271860.0,32.0,1
6889,272011.0,272043.0,32.0,1
6916,272550.0,272582.0,32.0,1
6924,272709.0,272740.0,31.0,1
6927,272772.0,272803.0,31.0,1
6950,273234.0,273265.0,31.0,1
6962,273472.0,273504.0,32.0,1
6971,273651.0,273684.0,33.0,1
6977,273772.0,273804.0,32.0,1
6993,274092.0,274124.0,32.0,1
7000,274230.0,274265.0,35.0,1
7015,274532.0,274563.0,31.0,1
7020,274634.0,274749.0,115.0,5
7024,274693.0,274725.0,32.0,1
7039,274992.0,275023.0,31.0,1
7046,275134.0,275165.0,31.0,1
7052,275254.0,275286.0,32.0,1
7057,275353.0,275388.0,35.0,1
7065,275513.0,275551.0,38.0,1
7089,275999.0,276031.0,32.0,1
7092,276052.0,276084.0,32.0,1
7113,276475.0,276507.0,32.0,1
7119,276596.0,276627.0,31.0,1
7128,276774.0,276807.0,33.0,1
7133,276870.0,276904.0,34.0,1
7151,277235.0,277267.0,32.0,1
7160,277415.0,277448.0,33.0,1
7165,277516.0,277548.0,32.0,1
7171,277635.0,277667.0,32.0,1
7192,278061.0,278093.0,32.0,1
7203,278274.0,278305.0,31.0,1
7207,278361.0,278393.0,32.0,1
7212,278456.0,278494.0,38.0,1
7228,278776.0,278810.0,34.0,1
7236,278940.0,278972.0,32.0,1
7241,279035.0,279066.0,31.0,1
7253,279277.0,279310.0,33.0,1
7284,279902.0,279934.0,32.0,1
7292,280057.0,280088.0,31.0,1
7295,280120.0,280151.0,31.0,1
7301,280238.0,280270.0,32.0,1
7330,280818.0,280849.0,31.0,1
7333,280881.0,280912.0,31.0,1
7347,281158.0,281190.0,32.0,1
7361,281440.0,281471.0,31.0,1
7384,281900.0,281934.0,34.0,1
7406,282339.0,282374.0,35.0,1
7409,282398.0,282437.0,39.0,1
7413,282481.0,282513.0,32.0,1
